bloque,indicador,tipo,que_mide,como_se_calcula,interpretacion_tactica,donde_aparece_app,como_defenderlo
Equipo,Pases totales,KPI base,Volumen de circulación del equipo durante el partido o la muestra analizada.,Conteo total de eventos de pase registrados para el equipo en la muestra.,Permite valorar si el equipo sostiene posesiones y tiene capacidad para organizar ataques. Un volumen alto no implica dominar si no se acompaña de progresión y amenaza.,"Modelo de juego, ficha de partido, comparativa 5 vs 30.","Lo uso como indicador de volumen, pero siempre lo interpreto junto a campo rival, precisión y zona peligrosa."
Equipo,Precisión de pase,KPI base,Calidad técnica de la circulación y porcentaje de pases completados.,Pases exitosos / pases totales * 100.,Ayuda a entender si la posesión se sostiene con seguridad. Una precisión alta con poca progresión puede indicar circulación conservadora.,"Modelo de juego, ficha de partido, comparativa 5 vs 30, radares.","No lo uso como indicador aislado de buen juego, sino como calidad de circulación dentro del modelo."
Equipo,Pases en campo rival,KPI territorial,Capacidad del equipo para instalar su posesión en zonas ofensivas.,Porcentaje o volumen de pases realizados en campo rival sobre el total de pases.,Indica progresión territorial. Sirve para diferenciar posesión útil de posesión en zonas de bajo valor.,"Modelo de juego, contexto competitivo, ficha de partido, comparativa 5 vs 30.","Lo explico como una medida de avance territorial: no basta con tener el balón, hay que llevarlo a zonas donde pueda generar ventaja."
Equipo,Zona peligrosa,KPI de amenaza,Capacidad del equipo para llegar o activar zonas cercanas al área rival.,Conteo o proporción de pases/acciones que terminan en zonas ofensivas de mayor valor.,Permite valorar si la progresión acaba en amenaza real. Es clave para detectar dominio sin profundidad.,"Modelo de juego, ficha de partido, comparativa 5 vs 30, pre/post partido.",Lo uso para conectar posesión con amenaza: un equipo puede progresar mucho pero no generar peligro suficiente.
Equipo,Eventos por minuto,KPI de ritmo,Ritmo de actividad del equipo en la muestra analizada.,Número total de eventos registrados / minutos disputados.,"Ayuda a entender si el partido fue de ritmo alto, bajo o controlado. Se interpreta junto al contexto del rival.","Ficha de partido, comparativa 5 vs 30.","Lo explico como ritmo de participación/eventing, no como intensidad física directa."
Equipo,Índice de dominio,Índice compuesto,Capacidad global del equipo para controlar el juego con balón y territorio.,"Combinación normalizada de métricas relacionadas con volumen de pase, precisión, posesión/progresión y presencia en campo rival.","Sirve para identificar equipos que llevan la iniciativa. No mide solo tener el balón, sino la capacidad de instalarse y sostener el juego.","Contexto competitivo, modelo de juego, radares de equipo.",Aclaro que es un índice relativo y normalizado para comparar equipos bajo el mismo criterio.
Equipo,Índice de amenaza,Índice compuesto,Capacidad del equipo para transformar posesión/progresión en situaciones ofensivas de valor.,"Combinación normalizada de KPIs ofensivos como zona peligrosa, presencia en campo rival, llegadas y producción ofensiva.",Diferencia a los equipos que simplemente circulan de los que realmente dañan al rival.,"Contexto competitivo, modelo de juego, radares, pre/post partido.","Lo defiendo como medida de producción ofensiva contextual, no como garantía directa de goles."
Equipo,Índice de eficacia,Índice compuesto,Relación entre amenaza generada y resultado ofensivo obtenido.,"Combinación normalizada de variables de producción y rendimiento ofensivo, como goles, eficacia de llegada o conversión de acciones peligrosas.","Ayuda a detectar equipos que generan mucho pero convierten poco, o equipos que convierten mucho con menor volumen.","Contexto competitivo, quadrant plots, radares.",Lo explico como eficiencia ofensiva relativa dentro de la liga.
Equipo,Índice de presión,Índice compuesto,Capacidad del equipo para defender hacia delante o condicionar la salida rival.,"Combinación normalizada de métricas defensivas asociadas a presión, recuperación, actividad defensiva y acciones en campo rival.",Permite valorar si el equipo intenta recuperar alto o incomodar la progresión rival.,"Contexto competitivo, estilos rivales, pre/post partido.","Aclaro que no mide directamente esfuerzo físico, sino comportamiento defensivo observable en los eventos disponibles."
Equipo,Índice de solidez,Índice compuesto,"Capacidad del equipo para limitar concesiones, protegerse y reducir amenaza rival.","Combinación normalizada de variables defensivas y de concesión, interpretadas de forma que mayor valor representa mayor estabilidad.",Sirve para diferenciar equipos que presionan mucho de equipos que realmente conceden poco.,"Contexto competitivo, radares, matriz de riesgo.",Lo conecto con la idea de equilibrio: atacar bien también implica quedar preparado para defender.
Jugador,Índice ofensivo,Índice individual,"Aportación del jugador en acciones relacionadas con amenaza, finalización, último tercio y participación ofensiva.",Combinación normalizada de métricas ofensivas disponibles por jugador. Se pondera sobre jugadores comparables y con muestra suficiente.,"Identifica jugadores con impacto en fase ofensiva, ya sea por generación, llegada o participación cerca de zonas de amenaza.","Jugadores Real Sociedad, Jugadores LaLiga, rankings individuales.","Lo explico como indicador comparativo, no como valoración absoluta del jugador."
Jugador,Índice de progresión,Índice individual,"Capacidad del jugador para conectar, avanzar jugadas y participar en la circulación útil.","Combinación normalizada de variables de pase, volumen, precisión, conexión y progresión territorial.",Ayuda a localizar jugadores que sostienen la salida de balón o conectan zonas del campo.,"Jugadores Real Sociedad, Jugadores LaLiga, rankings de progresión.","Lo uso para detectar perfiles de conexión, no necesariamente jugadores de gol."
Jugador,Índice defensivo,Índice individual,"Participación del jugador en acciones defensivas, recuperación, duelos, bloqueos o protección del equipo.",Combinación normalizada de métricas defensivas disponibles en la base de eventos y estadísticas del jugador.,Permite detectar jugadores que sostienen el equilibrio del equipo y aportan sin balón.,"Jugadores Real Sociedad, Jugadores LaLiga, rankings defensivos.",Aclaro que depende de eventos registrados y debe interpretarse junto al rol y posición del jugador.
Jugador,Índice total jugador,Índice individual compuesto,"Resumen global del rendimiento del jugador a partir de sus aportaciones ofensivas, de progresión y defensivas.","Combinación de índice ofensivo, índice de progresión e índice defensivo, ajustada por disponibilidad de datos y muestra de minutos/partidos.","Ayuda a ordenar jugadores por impacto global, pero siempre debe leerse según posición y rol.","Jugadores Real Sociedad, Jugadores LaLiga, rankings generales.","Lo presento como una herramienta de cribado y comparación, no como una verdad absoluta sobre el nivel del jugador."
Jugador,Rol táctico,Clasificación interpretativa,Perfil funcional del jugador según sus indicadores predominantes.,"Asignación automática a partir del índice más destacado o combinación principal: amenaza ofensiva, progresor/conector, sostén defensivo o perfil equilibrado.",Permite pasar de números a lenguaje futbolístico y entender qué función cumple cada jugador dentro del modelo.,"Jugadores Real Sociedad, Jugadores LaLiga.","Aclaro que no sustituye al análisis técnico, sino que ayuda a resumir tendencias del jugador."
Rival,Radar táctico del rival,Visual comparativo,"Perfil del rival en dimensiones como posesión, pase, campo rival, remate, eficacia, duelos o presión.",Normalización de KPIs del rival en una escala común para comparar fortalezas y debilidades.,"Ayuda a preparar el partido detectando amenaza principal, tipo de rival y plan de actuación.","Análisis rival, Pre/Post partido.","Lo explico como visual de síntesis para preparar partidos, no como informe completo por sí solo."
Partido,Comparativa 5 vs 30,Contraste de muestra,Diferencia entre los cinco partidos profundizados y la referencia general de 30 partidos.,Media de KPIs del bloque de 5 partidos comparada con la media equivalente de la muestra de 30 partidos.,Permite detectar si los partidos analizados se comportan como el patrón habitual o presentan desviaciones relevantes.,Comparativa 5 vs 30.,Lo uso para evitar analizar cinco partidos aislados: los comparo con la referencia general del modelo.
