equipo_nombre,indice_global_equipo,indice_dominio,indice_amenaza,indice_eficacia,indice_presion,indice_solidez,estilo_tactico,lectura_tactica
FC Barcelona,88.73,99.92,90.0,97.65,75.83,68.98,Dominador ofensivo,FC Barcelona presenta un perfil de alto control y amenaza ofensiva. Es un rival capaz de instalarse en campo contrario y generar peligro de forma sostenida.
Real Madrid CF,69.49,80.58,75.38,69.29,51.13,59.83,Dominador ofensivo,Real Madrid CF presenta un perfil de alto control y amenaza ofensiva. Es un rival capaz de instalarse en campo contrario y generar peligro de forma sostenida.
Club Atlético de Madrid,54.71,61.54,51.08,59.46,41.61,56.16,Perfil mixto,"Club Atlético de Madrid muestra un perfil mixto, sin una única característica dominante clara."
Real Sociedad de Fútbol,51.95,44.86,41.41,61.82,71.93,48.23,Presión alta con riesgo defensivo,"Real Sociedad de Fútbol presiona con intensidad, pero puede dejar espacios o conceder más situaciones de remate de las deseadas."
Elche CF,48.91,66.17,28.57,53.5,55.26,41.56,Control con poca amenaza,"Elche CF tiene capacidad para controlar fases del juego, pero su producción ofensiva no siempre acompaña ese dominio territorial."
Sevilla FC,48.44,43.12,26.0,54.68,67.34,67.52,Equipo de presión y solidez,Sevilla FC combina intensidad defensiva con buena protección de su portería. Es un equipo difícil de superar y competitivo sin balón.
Villarreal CF,48.13,29.39,45.96,86.78,10.28,69.28,Equipo reactivo / bloque bajo,"Villarreal CF tiende a un perfil más reactivo, con menor dominio territorial y menor presión alta."
Real Betis Balompié,46.12,49.98,47.33,43.14,26.65,61.11,Perfil mixto,"Real Betis Balompié muestra un perfil mixto, sin una única característica dominante clara."
Real Club Celta de Vigo,45.36,54.89,31.74,75.46,7.51,49.9,Perfil mixto,"Real Club Celta de Vigo muestra un perfil mixto, sin una única característica dominante clara."
Athletic Club,44.4,37.69,34.09,17.54,79.05,73.96,Equipo de presión y solidez,Athletic Club combina intensidad defensiva con buena protección de su portería. Es un equipo difícil de superar y competitivo sin balón.
Rayo Vallecano de Madrid,39.83,45.49,35.27,4.95,63.33,61.02,Equipo de presión y solidez,Rayo Vallecano de Madrid combina intensidad defensiva con buena protección de su portería. Es un equipo difícil de superar y competitivo sin balón.
Deportivo Alavés,39.55,40.27,30.54,22.82,62.03,53.21,Producción ofensiva limitada,Deportivo Alavés presenta dificultades para generar y convertir situaciones ofensivas de calidad.
Reial Club Deportiu Espanyol de Barcelona,34.9,19.1,35.08,31.82,46.78,53.15,Perfil mixto,"Reial Club Deportiu Espanyol de Barcelona muestra un perfil mixto, sin una única característica dominante clara."
Valencia CF,34.1,39.01,23.63,45.17,11.61,51.11,Equipo reactivo / bloque bajo,"Valencia CF tiende a un perfil más reactivo, con menor dominio territorial y menor presión alta."
CA Osasuna,33.92,28.65,28.96,43.1,23.51,49.11,Equipo reactivo / bloque bajo,"CA Osasuna tiende a un perfil más reactivo, con menor dominio territorial y menor presión alta."
Girona FC,30.86,48.36,19.29,45.32,2.62,29.95,Perfil mixto,"Girona FC muestra un perfil mixto, sin una única característica dominante clara."
Real Club Deportivo Mallorca,29.51,27.45,27.58,46.04,6.84,36.8,Equipo reactivo / bloque bajo,"Real Club Deportivo Mallorca tiende a un perfil más reactivo, con menor dominio territorial y menor presión alta."
Getafe CF,29.07,0.0,13.56,32.15,61.85,66.45,Equipo de presión y solidez,Getafe CF combina intensidad defensiva con buena protección de su portería. Es un equipo difícil de superar y competitivo sin balón.
Levante UD,27.61,15.51,24.23,43.85,24.63,34.74,Equipo reactivo / bloque bajo,"Levante UD tiende a un perfil más reactivo, con menor dominio territorial y menor presión alta."
Real Oviedo,19.9,27.63,14.34,0.0,29.33,33.37,Producción ofensiva limitada,Real Oviedo presenta dificultades para generar y convertir situaciones ofensivas de calidad.
