orden,seccion_dashboard,objetivo,dataframes_principales,csv_principal,visualizacion_principal,estado,prioridad,uso_presentacion
1,Resumen ejecutivo,Abrir la herramienta con una lectura rápida del estado general del análisis.,"df_estructura_dashboard, df_inventario_tfm, resumen Real Sociedad vs liga",estructura_dashboard_tfm.csv,Cards ejecutivas + radar/barras resumen,Preparado,Muy alta,Introducción de la herramienta y visión general del TFM
2,Contexto competitivo LaLiga,Comparar a la Real Sociedad con los 20 equipos de LaLiga.,"df_estilos_equipos, df_resumen_estilos, tabla equipos 20 LaLiga",estilos_tacticos_laliga.csv,Mapa de estilos + quadrant plots + rankings por índice,Preparado,Muy alta,Análisis del contexto competitivo y estilos de juego
3,Modelo de juego Real Sociedad,Explicar el modelo de juego del equipo por fases tácticas.,"KPIs por fase, índices Real Sociedad, resumen táctico RS",pendiente_confirmar_nombre_csv,Radar propio + barras por fase + cards de fortalezas/alertas,Preparado parcialmente,Muy alta,Mostrar el estilo y modelo de juego del equipo
4,Jugadores Real Sociedad,"Analizar perfiles internos, roles y líderes tácticos de la plantilla.","df_cards_jugadores_clave, rankings jugadores RS, roles tácticos",pendiente_confirmar_nombre_csv,Ranking de jugadores + cards ejecutivas + líderes por fase,Preparado,Muy alta,Conectar modelo colectivo con perfiles individuales
5,Jugadores LaLiga,"Incluir análisis individual de jugadores de los 20 equipos de LaLiga, con rankings, perfiles tácticos y líderes por fase.","df_jugadores_laliga_dashboard, df_rankings_laliga_jugadores, df_resumen_jugadores_equipo, df_lideres_equipo_laliga, df_perfiles_laliga, df_explorador_jugadores_laliga",explorador_jugadores_laliga_dashboard.csv,"Ranking global, líderes por equipo, radar de perfiles y explorador filtrable",Preparado,Alta,"Demostrar que la herramienta no analiza solo a la Real Sociedad, sino también el contexto individual de toda LaLiga."
6,Estilos rivales y matriz de riesgo,Detectar qué estilos de rival generan más riesgo para la Real Sociedad.,"df_riesgo_rivales_rs, df_resumen_riesgo_estilos",riesgo_rivales_real_sociedad.csv,Matriz de riesgo + tabla de riesgos + resumen por estilo,Preparado,Muy alta,Responder a puntos débiles ante otros estilos de juego
7,Pre-partido 5 partidos,Mostrar informes previos de los 5 partidos seleccionados.,"df_ficha_prepartido_completa, df_resumen_prepartido_final",prepartido_rivales_real_sociedad.csv,Cards pre-partido + radar comparativo + planes de partido,Preparado,Muy alta,Cumplir bloque de informes pre-partido
8,Amenazas individuales rivales,Analizar jugadores clave de los rivales seleccionados.,"df_top_amenazas_rivales, df_lectura_cuerpo_tecnico, df_amenaza_principal_rival",amenaza_principal_por_rival.csv,Top 3 amenazas por rival + cards jugador clave,Preparado,Alta,Integrar análisis colectivo e individual del rival
9,Post-partido 5 partidos,Evaluar si el plan de partido se cumplió tras cada encuentro.,"df_dashboard_partidos_final, df_kpis_postpartido, df_madurez_dashboard",dashboard_partidos_pre_post.csv,Evaluación pre/post + índice de madurez + aprendizajes,Preparado como plantilla,Muy alta,Cumplir bloque de informes post-partido
10,Metodología y trazabilidad,"Explicar cómo se han calculado índices, roles, riesgos y planes.","df_inventario_tfm, df_metodologia_postpartido, checklist TFM",inventario_tfm.csv,Inventario + checklist + flujo metodológico,Preparado parcialmente,Alta,Defensa metodológica del trabajo y explicación del proceso
