equipo,jugador_mas_completo,posicion_jugador_mas_completo,indice_jugador_mas_completo,lider_ofensivo,posicion_lider_ofensivo,indice_lider_ofensivo,lider_progresion,posicion_lider_progresion,indice_lider_progresion,lider_defensivo,posicion_lider_defensivo,indice_lider_defensivo,lectura_dashboard
Alaves,Antonio Blanco,Midfielder,40.07,L. Boyé,Forward,34.68,Jonny,Defender,50.18,Antonio Blanco,Midfielder,67.71,"Alaves tiene como jugador más completo a Antonio Blanco con un índice total de 40.07. Su principal referencia ofensiva es L. Boyé, el perfil de progresión más destacado es Jonny y el mayor sostén defensivo es Antonio Blanco."
Athletic Club,Mikel Jauregizar,Midfielder,34.55,Alex Berenguer,Forward,31.41,Yuri,Defender,40.43,Mikel Jauregizar,Midfielder,57.74,"Athletic Club tiene como jugador más completo a Mikel Jauregizar con un índice total de 34.55. Su principal referencia ofensiva es Alex Berenguer, el perfil de progresión más destacado es Yuri y el mayor sostén defensivo es Mikel Jauregizar."
Atletico Madrid,Koke,Midfielder,33.09,J. Alvarez,Forward,37.59,Koke,Midfielder,53.55,D. Hancko,Defender,38.21,"Atletico Madrid tiene como jugador más completo a Koke con un índice total de 33.09. Su principal referencia ofensiva es J. Alvarez, el perfil de progresión más destacado es Koke y el mayor sostén defensivo es D. Hancko."
Barcelona,Lamine Yamal,Forward,61.57,Lamine Yamal,Forward,74.06,Lamine Yamal,Forward,67.36,Eric García,Defender,56.24,"Barcelona tiene como jugador más completo a Lamine Yamal con un índice total de 61.57. Su principal referencia ofensiva es Lamine Yamal, el perfil de progresión más destacado es Lamine Yamal y el mayor sostén defensivo es Eric García."
Betis,Pablo Fornals,Midfielder,48.87,Pablo Fornals,Midfielder,43.73,Pablo Fornals,Midfielder,60.74,Natan,Defender,50.57,"Betis tiene como jugador más completo a Pablo Fornals con un índice total de 48.87. Su principal referencia ofensiva es Pablo Fornals, el perfil de progresión más destacado es Pablo Fornals y el mayor sostén defensivo es Natan."
Celta,Marcos Alonso,Defender,39.56,Borja Iglesias,Forward,34.71,Marcos Alonso,Defender,66.82,Marcos Alonso,Defender,46.58,"Celta tiene como jugador más completo a Marcos Alonso con un índice total de 39.56. Su principal referencia ofensiva es Borja Iglesias, el perfil de progresión más destacado es Marcos Alonso y el mayor sostén defensivo es Marcos Alonso."
Elche,Aleix Febas,Midfielder,41.94,Germán Valera,Forward,30.38,Aleix Febas,Midfielder,59.45,D. Affengruber,Defender,66.3,"Elche tiene como jugador más completo a Aleix Febas con un índice total de 41.94. Su principal referencia ofensiva es Germán Valera, el perfil de progresión más destacado es Aleix Febas y el mayor sostén defensivo es D. Affengruber."
Espanyol,Carlos Romero,Defender,35.84,Edu Expósito,Midfielder,32.07,Edu Expósito,Midfielder,39.51,Carlos Romero,Defender,60.05,"Espanyol tiene como jugador más completo a Carlos Romero con un índice total de 35.84. Su principal referencia ofensiva es Edu Expósito, el perfil de progresión más destacado es Edu Expósito y el mayor sostén defensivo es Carlos Romero."
Getafe,Luis Milla,Midfielder,44.35,Luis Milla,Midfielder,33.88,David Soria,Goalkeeper,47.48,Juan Iglesias,Defender,62.85,"Getafe tiene como jugador más completo a Luis Milla con un índice total de 44.35. Su principal referencia ofensiva es Luis Milla, el perfil de progresión más destacado es David Soria y el mayor sostén defensivo es Juan Iglesias."
Girona,D. Blind,Defender,41.06,V. Tsygankov,Forward,32.92,D. Blind,Defender,64.7,D. Blind,Defender,57.75,"Girona tiene como jugador más completo a D. Blind con un índice total de 41.06. Su principal referencia ofensiva es V. Tsygankov, el perfil de progresión más destacado es D. Blind y el mayor sostén defensivo es D. Blind."
Levante,Adrián de la Fuente,Defender,31.2,K. Etta Eyong,Forward,29.99,Adrián de la Fuente,Defender,38.6,Manu Sánchez,Defender,53.24,"Levante tiene como jugador más completo a Adrián de la Fuente con un índice total de 31.20. Su principal referencia ofensiva es K. Etta Eyong, el perfil de progresión más destacado es Adrián de la Fuente y el mayor sostén defensivo es Manu Sánchez."
Mallorca,V. Muriqi,Forward,31.56,V. Muriqi,Forward,49.96,M. Valjent,Defender,43.37,Samú Costa,Midfielder,49.58,"Mallorca tiene como jugador más completo a V. Muriqi con un índice total de 31.56. Su principal referencia ofensiva es V. Muriqi, el perfil de progresión más destacado es M. Valjent y el mayor sostén defensivo es Samú Costa."
Osasuna,Alejandro Catena,Defender,32.07,A. Budimir,Forward,41.84,Jon Moncayola,Midfielder,38.34,Alejandro Catena,Defender,54.02,"Osasuna tiene como jugador más completo a Alejandro Catena con un índice total de 32.07. Su principal referencia ofensiva es A. Budimir, el perfil de progresión más destacado es Jon Moncayola y el mayor sostén defensivo es Alejandro Catena."
Oviedo,F. Viñas,Forward,26.61,F. Viñas,Forward,28.54,Aarón Escandell,Goalkeeper,40.57,F. Viñas,Forward,41.44,"Oviedo tiene como jugador más completo a F. Viñas con un índice total de 26.61. Su principal referencia ofensiva es F. Viñas, el perfil de progresión más destacado es Aarón Escandell y el mayor sostén defensivo es F. Viñas."
Rayo Vallecano,F. Lejeune,Defender,40.01,Álvaro García,Midfielder,38.31,F. Lejeune,Defender,47.53,F. Lejeune,Defender,67.12,"Rayo Vallecano tiene como jugador más completo a F. Lejeune con un índice total de 40.01. Su principal referencia ofensiva es Álvaro García, el perfil de progresión más destacado es F. Lejeune y el mayor sostén defensivo es F. Lejeune."
Real Madrid,Vinícius Júnior,Forward,46.87,K. Mbappé,Forward,81.77,F. Valverde,Midfielder,54.33,A. Tchouaméni,Midfielder,56.42,"Real Madrid tiene como jugador más completo a Vinícius Júnior con un índice total de 46.87. Su principal referencia ofensiva es K. Mbappé, el perfil de progresión más destacado es F. Valverde y el mayor sostén defensivo es A. Tchouaméni."
Real sociedad,Mikel Oyarzabal,Forward,35.0,Mikel Oyarzabal,Forward,50.13,Sergio Gómez,Forward,44.03,J. Aramburu,Defender,66.76,"Real sociedad tiene como jugador más completo a Mikel Oyarzabal con un índice total de 35.00. Su principal referencia ofensiva es Mikel Oyarzabal, el perfil de progresión más destacado es Sergio Gómez y el mayor sostén defensivo es J. Aramburu."
Sevilla,José Ángel Carmona,Defender,32.37,A. Adams,Forward,30.38,L. Agoumé,Midfielder,38.53,José Ángel Carmona,Defender,55.31,"Sevilla tiene como jugador más completo a José Ángel Carmona con un índice total de 32.37. Su principal referencia ofensiva es A. Adams, el perfil de progresión más destacado es L. Agoumé y el mayor sostén defensivo es José Ángel Carmona."
Valencia,Pepelu,Midfielder,27.35,Luis Rioja,Forward,25.57,Pepelu,Midfielder,35.43,José Gayà,Defender,39.29,"Valencia tiene como jugador más completo a Pepelu con un índice total de 27.35. Su principal referencia ofensiva es Luis Rioja, el perfil de progresión más destacado es Pepelu y el mayor sostén defensivo es José Gayà."
Villareal,N. Pépé,Forward,34.51,N. Pépé,Forward,40.49,Santi Comesaña,Midfielder,38.63,S. Mouriño,Defender,62.98,"Villareal tiene como jugador más completo a N. Pépé con un índice total de 34.51. Su principal referencia ofensiva es N. Pépé, el perfil de progresión más destacado es Santi Comesaña y el mayor sostén defensivo es S. Mouriño."
