equipo_nombre,estilo_tactico,indice_global_equipo,indice_dominio,indice_amenaza,indice_eficacia,indice_presion,indice_solidez,riesgo_para_real_sociedad,plan_recomendado,prioridad_prepartido
FC Barcelona,Dominador ofensivo,88.73,99.92,90.0,97.65,75.83,68.98,Riesgo alto por dominio y acumulación ofensiva,"Bloque compacto, presión selectiva y proteger espalda de la presión",Prioridad alta
Real Madrid CF,Dominador ofensivo,69.49,80.58,75.38,69.29,51.13,59.83,Riesgo alto por dominio y acumulación ofensiva,"Bloque compacto, presión selectiva y proteger espalda de la presión",Prioridad alta
Sevilla FC,Equipo de presión y solidez,48.44,43.12,26.0,54.68,67.34,67.52,"Riesgo alto por duelos, presión y dificultad para progresar","Salida limpia, tercer hombre, cambios de orientación y evitar duelos forzados",Prioridad alta
Villarreal CF,Equipo reactivo / bloque bajo,48.13,29.39,45.96,86.78,10.28,69.28,Riesgo alto en transición y eficacia tras recuperación,"Paciencia con balón, evitar pérdidas interiores y vigilar transiciones",Prioridad alta
Athletic Club,Equipo de presión y solidez,44.4,37.69,34.09,17.54,79.05,73.96,"Riesgo alto por duelos, presión y dificultad para progresar","Salida limpia, tercer hombre, cambios de orientación y evitar duelos forzados",Prioridad alta
Rayo Vallecano de Madrid,Equipo de presión y solidez,39.83,45.49,35.27,4.95,63.33,61.02,"Riesgo alto por duelos, presión y dificultad para progresar","Salida limpia, tercer hombre, cambios de orientación y evitar duelos forzados",Prioridad alta
Getafe CF,Equipo de presión y solidez,29.07,0.0,13.56,32.15,61.85,66.45,"Riesgo alto por duelos, presión y dificultad para progresar","Salida limpia, tercer hombre, cambios de orientación y evitar duelos forzados",Prioridad alta
Deportivo Alavés,Producción ofensiva limitada,39.55,40.27,30.54,22.82,62.03,53.21,Riesgo bajo si la Real Sociedad domina el partido,"Presionar alto, recuperar en campo rival y cargar área con volumen",Prioridad baja
Real Oviedo,Producción ofensiva limitada,19.9,27.63,14.34,0.0,29.33,33.37,Riesgo bajo si la Real Sociedad domina el partido,"Presionar alto, recuperar en campo rival y cargar área con volumen",Prioridad baja
Club Atlético de Madrid,Perfil mixto,54.71,61.54,51.08,59.46,41.61,56.16,Riesgo medio por versatilidad táctica,Adaptar altura de presión según fase y controlar pérdidas tras ataque,Prioridad media
Elche CF,Control con poca amenaza,48.91,66.17,28.57,53.5,55.26,41.56,"Riesgo medio-bajo: controla fases, pero genera menos amenaza","Disputar posesión, aumentar ritmo tras robo y atacar intervalos",Prioridad media
Real Betis Balompié,Perfil mixto,46.12,49.98,47.33,43.14,26.65,61.11,Riesgo medio por versatilidad táctica,Adaptar altura de presión según fase y controlar pérdidas tras ataque,Prioridad media
Real Club Celta de Vigo,Perfil mixto,45.36,54.89,31.74,75.46,7.51,49.9,Riesgo medio por versatilidad táctica,Adaptar altura de presión según fase y controlar pérdidas tras ataque,Prioridad media
Reial Club Deportiu Espanyol de Barcelona,Perfil mixto,34.9,19.1,35.08,31.82,46.78,53.15,Riesgo medio por versatilidad táctica,Adaptar altura de presión según fase y controlar pérdidas tras ataque,Prioridad media
Valencia CF,Equipo reactivo / bloque bajo,34.1,39.01,23.63,45.17,11.61,51.11,Riesgo medio por bloque bajo y ataques directos,"Paciencia con balón, evitar pérdidas interiores y vigilar transiciones",Prioridad media
CA Osasuna,Equipo reactivo / bloque bajo,33.92,28.65,28.96,43.1,23.51,49.11,Riesgo medio por bloque bajo y ataques directos,"Paciencia con balón, evitar pérdidas interiores y vigilar transiciones",Prioridad media
Girona FC,Perfil mixto,30.86,48.36,19.29,45.32,2.62,29.95,Riesgo medio por versatilidad táctica,Adaptar altura de presión según fase y controlar pérdidas tras ataque,Prioridad media
Real Club Deportivo Mallorca,Equipo reactivo / bloque bajo,29.51,27.45,27.58,46.04,6.84,36.8,Riesgo medio por bloque bajo y ataques directos,"Paciencia con balón, evitar pérdidas interiores y vigilar transiciones",Prioridad media
Levante UD,Equipo reactivo / bloque bajo,27.61,15.51,24.23,43.85,24.63,34.74,Riesgo medio por bloque bajo y ataques directos,"Paciencia con balón, evitar pérdidas interiores y vigilar transiciones",Prioridad media
