jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,precision_pase_%,pases_adelante,pases_campo_rival,toques_area_rival,recuperaciones,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador
Mikel Oyarzabal,Forward,2274.0,27.0,26.0,12.0,3.0,611.0,76.1,162.0,292.0,133.0,76.0,3.0,50.13,28.07,25.44,35.0
Sergio Gómez,Forward,2155.0,28.0,24.0,0.0,1.0,1236.0,86.08,486.0,613.0,25.0,121.0,25.0,11.15,44.03,52.25,34.99
J. Aramburu,Defender,2301.0,28.0,26.0,1.0,0.0,1071.0,80.67,480.0,445.0,23.0,97.0,39.0,6.76,34.21,66.76,34.37
Carlos Soler,Midfielder,1701.0,25.0,19.0,4.0,3.0,845.0,88.4,262.0,452.0,28.0,68.0,10.0,27.84,30.02,23.2,27.21
Jon Gorrotxategi,Midfielder,1912.0,25.0,22.0,1.0,1.0,1127.0,86.6,306.0,481.0,5.0,115.0,32.0,7.16,31.78,44.65,27.02
Ander Barrenetxea,Forward,1428.0,24.0,17.0,3.0,3.0,573.0,80.45,147.0,357.0,86.0,85.0,13.0,27.76,26.04,26.28,26.71
Gonçalo Guedes,Forward,1776.0,30.0,22.0,8.0,4.0,548.0,75.18,160.0,316.0,61.0,53.0,3.0,35.2,23.06,19.76,26.32
Brais Méndez,Midfielder,1505.0,26.0,18.0,6.0,1.0,777.0,81.08,230.0,403.0,49.0,75.0,5.0,23.49,27.94,24.76,25.43
Igor Zubeldia,Defender,1899.0,22.0,21.0,0.0,1.0,1030.0,87.38,327.0,255.0,13.0,53.0,21.0,4.54,29.23,39.18,23.57
Jon Martín,Defender,1710.0,19.0,19.0,1.0,0.0,1002.0,91.32,342.0,289.0,16.0,58.0,31.0,4.18,27.95,40.87,23.51
Urko González de Zárate,Midfielder,2005.0,29.0,21.0,0.0,0.0,760.0,81.18,237.0,322.0,9.0,107.0,23.0,2.92,23.21,43.09,22.07
Álex Remiro,Goalkeeper,2700.0,30.0,30.0,0.0,0.0,1096.0,70.89,671.0,140.0,0.0,237.0,1.0,0.67,40.18,25.53,21.96
D. Ćaleta-Car,Defender,1610.0,21.0,18.0,1.0,0.0,1013.0,89.83,329.0,270.0,18.0,56.0,22.0,3.78,26.63,35.06,21.16
T. Kubo,Forward,1183.0,18.0,13.0,2.0,3.0,376.0,79.52,83.0,230.0,64.0,44.0,7.0,23.5,17.95,22.19,21.16
Jon Pacheco,Defender,1725.0,21.0,20.0,0.0,0.0,936.0,86.54,323.0,293.0,14.0,70.0,11.0,2.32,28.52,32.79,20.63
Beñat Turrientes,Midfielder,936.0,20.0,11.0,0.0,1.0,465.0,85.81,116.0,200.0,16.0,59.0,6.0,6.64,13.84,23.05,14.08
Pablo Marín,Midfielder,1124.0,26.0,12.0,0.0,1.0,302.0,80.13,73.0,147.0,20.0,43.0,5.0,6.51,10.91,15.17,10.65
L. Sučić,Midfielder,641.0,15.0,7.0,2.0,1.0,287.0,80.14,66.0,131.0,11.0,27.0,3.0,8.51,10.48,8.95,9.33
U. Sadiq,Forward,666.0,17.0,6.0,1.0,2.0,118.0,66.1,26.0,50.0,43.0,26.0,1.0,11.68,6.33,7.44,8.54
Aihen Muñoz,Defender,681.0,16.0,7.0,0.0,0.0,246.0,83.33,103.0,109.0,5.0,24.0,5.0,1.56,8.99,15.01,8.2
Aritz Elustondo,Defender,413.0,11.0,4.0,0.0,0.0,223.0,88.79,85.0,77.0,6.0,16.0,6.0,1.1,6.38,9.88,5.58
A. Zakharyan,Midfielder,391.0,16.0,2.0,0.0,0.0,182.0,79.67,60.0,109.0,12.0,14.0,0.0,3.84,8.01,3.93,5.33
O. Óskarsson,Forward,310.0,13.0,2.0,4.0,0.0,56.0,62.5,9.0,23.0,14.0,7.0,1.0,8.72,2.04,3.93,4.94
Y. Herrera,Midfielder,417.0,10.0,6.0,0.0,0.0,175.0,76.57,50.0,72.0,8.0,15.0,2.0,0.84,4.85,8.97,4.69
